"variableName","Labels","labelValues","fileFormat"
"tt3g23f","Areas prof.dev. Student behaviours and classroom management","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23g","Areas prof.dev. School management and administration","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23h","Areas prof.dev. Approaches to individualised learning","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23i","Areas prof.dev. Teaching students with special needs","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23j","Areas prof.dev. Teaching in a multicultural or multilingual setting","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23k","Areas prof.dev. Teaching cross-curricular skills","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23l","Areas prof.dev. Analysis and use of student assessments","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23m","Areas prof.dev. Teacher-parent co-operation","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23n","Areas prof.dev. Communicating w. people from diff. cultures or countries","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23o","Areas prof.dev. Other","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g24a","Incentives received Release from tch duties for act. during regular wrking hours","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g24b","Incentives received Non-monetary support for activities outside working hours","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g24c","Incentives received Reimbursement or payment of costs","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g24d","Incentives received Materials needed for the activities","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g24e","Incentives received Monetary supplements for activities outside working hours","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g24f","Incentives received Non-monetary rewards","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g24g","Incentives received Non-monetary professional benefits","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g24h","Incentives received Increased salary","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g25","Positive impact of professional development on teaching practice","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26a","Charac.act. w.pos.impact Built on my prior knowledge","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26b","Charac.act. w.pos.impact Adapted to my personal development needs","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26c","Charac.act. w.pos.impact Had a coherent structure","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26d","Charac.act. w.pos.impact Appropriately focused on content needed to teach","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26e","Charac.act. w.pos.impact Provided opportunities for active learning","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26f","Charac.act. w.pos.impact Provided opportunities for collaborative learning","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26g","Charac.act. w.pos.impact Provided opportunities to practise apply new ideas","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26h","Charac.act. w.pos.impact Provided follow-up activities","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26i","Charac.act. w.pos.impact Took place at my school","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26j","Charac.act. w.pos.impact Involved most colleagues from my school","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26k","Charac.act. w.pos.impact Took place over an extended period of time","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g26l","Charac.act. w.pos.impact Focused on innovation in my teaching","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27a","Prof.dev needs Knowledge and understanding of my subject field(s)","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27b","Prof.dev needs Pedagogical competencies in teaching my subject field(s)","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27c","Prof.dev needs Knowledge of the curriculum","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27d","Prof.dev needs Student assessment practices","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27e","Prof.dev needs ICT skills for teaching","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27f","Prof.dev needs Student behaviours and classroom management","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27g","Prof.dev needs School management and administration","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27h","Prof.dev needs Approaches to individualised learning","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27i","Prof.dev needs Teaching students with special needs","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27j","Prof.dev needs Teaching in a multicultural or multilingual setting","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27k","Prof.dev needs Teaching cross-curricular skills","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27l","Prof.dev needs Analysis and use of student assessments","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27m","Prof.dev needs Teacher-parent co-operation","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g27n","Prof.dev needs Communicating with people from diff cultures or countries","NO NEED AT PRESENT; LOW LEVEL OF NEED; MODERATE LEVEL OF NEED; HIGH LEVEL OF NEED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g28a","Barr.Prof.dev. I do not have the pre-requisites","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g28b","Barr.Prof.dev. Professional development is too expensive","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g28c","Barr.Prof.dev. There is a lack of employer support","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g28d","Barr.Prof.dev. Professional development conflicts with my work schedule","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g28e","Barr.Prof.dev. I do not have time because of family responsibilities","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g28f","Barr.Prof.dev. There is no relevant professional development offered","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g28g","Barr.Prof.dev. There are no incentives for participation in prof. developm.","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29a1","Observation of classroom teaching External individuals or bodies","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29a2","Observation of classroom teaching Principal or member(s) of management team","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29a3","Observation of classroom teaching Other colleagues within the school","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29a4","Observation of classroom teaching I have never received this feedback","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29b1","Student survey responses External individuals or bodies","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29b2","Student survey responses Principal or member(s) of management team","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29b3","Student survey responses Other colleagues within the school","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29b4","Student survey responses I have never received this feedback","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29c1","Assessment of content knowledge External individuals or bodies","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29c2","Assessment of content knowledge Principal or member(s) of management team","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29c3","Assessment of content knowledge Other colleagues within the school","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29c4","Assessment of content knowledge I have never received this feedback","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29d1","My students external results External individuals or bodies","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29d2","My students external results Principal or member(s) of management team","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29d3","My students external results Other colleagues within the school","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29d4","My students external results I have never received this feedback","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29e1","School-based and classroom-based results external individuals or bodies - T","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29e2","School-based and classroom-based results Principal or member of management team","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29e3","School-based and classroom-based results Other colleagues within the school","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29e4","School-based and classroom-based results I have never received this feedback","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29f1","Self-assessment of my work External individuals or bodies","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29f2","Self-assessment of my work Principal or member(s) of management team","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29f3","Self-assessment of my work Other colleagues within the school","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g29f4","Self-assessment of my work I have never received this feedback","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g30","Positive impact of feedback on teaching practice","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g31a","Feedback imp. Knowledge and understanding of my main subject field(s)","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g31b","Feedback imp. Pedagogical competencies in teaching my subject","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g31c","Feedback imp. Use of student assessments to improve student learning","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g31d","Feedback imp. Classroom management","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g31e","Feedback imp. Methods for teaching students with special needs","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g31f","Feedback imp. Methods for teaching in a multicultural or multilingual setting","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g32a","Agree Most teachers strive to develop new ideas for teaching","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g32b","Agree Most teachers are open to change","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g32c","Agree Most teachers search for new ways to solve problems","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g32d","Agree Most teachers provide practical support to each other","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g33a","How often you do teach jointly as a team in the same class","NEVER; ONCE A YEAR OR LESS; 2-4 TIMES A YEAR; 5-10 TIMES A YEAR; 1-3 TIMES A MONTH; ONCE A WEEK OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g33b","How often you do observe other teachers classes and provide feedback","NEVER; ONCE A YEAR OR LESS; 2-4 TIMES A YEAR; 5-10 TIMES A YEAR; 1-3 TIMES A MONTH; ONCE A WEEK OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g33c","How often you do engage in joint activities","NEVER; ONCE A YEAR OR LESS; 2-4 TIMES A YEAR; 5-10 TIMES A YEAR; 1-3 TIMES A MONTH; ONCE A WEEK OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g33d","How often you do exchange teaching materials with colleagues","NEVER; ONCE A YEAR OR LESS; 2-4 TIMES A YEAR; 5-10 TIMES A YEAR; 1-3 TIMES A MONTH; ONCE A WEEK OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g33e","How often you do engage in discussions about the learning development","NEVER; ONCE A YEAR OR LESS; 2-4 TIMES A YEAR; 5-10 TIMES A YEAR; 1-3 TIMES A MONTH; ONCE A WEEK OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g33f","How often you do work with other teachers in this school","NEVER; ONCE A YEAR OR LESS; 2-4 TIMES A YEAR; 5-10 TIMES A YEAR; 1-3 TIMES A MONTH; ONCE A WEEK OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g33g","How often you do attend team conferences","NEVER; ONCE A YEAR OR LESS; 2-4 TIMES A YEAR; 5-10 TIMES A YEAR; 1-3 TIMES A MONTH; ONCE A WEEK OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g33h","How often you do take part in collaborative professional learning","NEVER; ONCE A YEAR OR LESS; 2-4 TIMES A YEAR; 5-10 TIMES A YEAR; 1-3 TIMES A MONTH; ONCE A WEEK OR MORE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34a","What ext. you can do Get students to believe they can do well in school work","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34b","What ext. you can do Help my students value learning","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34c","What ext. you can do Craft good questions for my students","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34d","What ext. you can do Control disruptive behaviour in the classroom","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34e","What ext. you can do Motivate students who show low interest in school work","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34f","What ext. you can do Make my expectations about student behaviour clear","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34g","What ext. you can do Help students think critically","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34h","What ext. you can do Get students to follow classroom rules","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34i","What ext. you can do Calm a student who is disruptive or noisy","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34j","What ext. you can do Use a variety of assessment strategies","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34k","What ext. you can do Provide alt. Explanation e.g. when students are confused","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34l","What ext. you can do Vary instructional strategies in my classroom","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g34m","What ext. you can do Support student learning via the use of digital technology","NOT AT ALL; TO SOME EXTENT; QUITE A BIT; A LOT; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g35a","Perc. stud. charac. Students [first language] diff. from instr. language - T","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g35b","Perc. stud. charac. Low academic achievers","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g35c","Perc. stud. charac. Students with special needs - T","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g35d","Perc. stud. charac. Students with behavioural problems","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g35e","Perc. stud. charac. Students from  socioeconomically disadvantaged homes - T","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g35f","Perc. stud. charac. Academically gifted students","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g35g","Perc. stud. charac.Students who are immigrants or with migrant background","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g35h","Perc. stud. charac. Students who are refugees - T","NONE; 1% TO 10%; 11% TO 30%; 31% TO 60%; MORE THAN 60%; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g36","Teaching in targ.class directed entirely or mainly to special needs students","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g37","Primary subject category of target class","READING, WRITING AND LITERATURE INCLUDES READING AND WRITING (AND LITERATURE) IN THE MOTHER TONGUE, IN THE LANGUAGE OF I; MATHEMATICS INCLUDES MATHEMATICS, MATHEMATICS WITH STATISTICS, GEOMETRY, ALGEBRA, ETC.; SCIENCE INCLUDES SCIENCE, PHYSICS, PHYSICAL SCIENCE, CHEMISTRY, BIOLOGY, HUMAN BIOLOGY, ENVIRONMENTAL SCIENCE, AGRICULTU; SOCIAL STUDIES INCLUDES SOCIAL STUDIES, COMMUNITY STUDIES, CONTEMPORARY STUDIES, ECONOMICS, ENVIRONMENTAL STUDIES, GEOGR; MODERN FOREIGN LANGUAGES INCLUDES LANGUAGES DIFFERENT FROM THE LANGUAGE OF INSTRUCTION; ANCIENT GREEK AND/OR LATIN; TECHNOLOGY INCLUDES ORIENTATION IN TECHNOLOGY, INCLUDING INFORMATION TECHNOLOGY, COMPUTER STUDIES, CONSTRUCTION/SURVEYIN; ARTS INCLUDES ARTS, MUSIC, VISUAL ARTS, PRACTICAL ART, DRAMA, PERFORMANCE MUSIC, PHOTOGRAPHY, DRAWING, CREATIVE HANDICRA; PHYSICAL EDUCATION INCLUDES PHYSICAL EDUCATION, GYMNASTICS, DANCE, HEALTH; RELIGION AND/OR ETHICS INCLUDES RELIGION, HISTORY OF RELIGIONS, RELIGION CULTURE, ETHICS; PRACTICAL AND VOCATIONAL SKILLS INCLUDES VOCATIONAL SKILLS (PREPARATION FOR A SPECIFIC OCCUPATION), TECHNICS, DOMESTIC S; OTHER; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g38","Enrolment in target class","LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g39a","Perc. of time spent on act. Administrative tasks","LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g39b","Perc. of time spent on act. Keeping order in classroom","LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g39c","Perc. of time spent on act. Actual teaching and learning","LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g40a","Control over areas of planning and teaching Determining course content","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g40b","Control over areas of planning and teaching Selecting teaching methods","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g40c","Control over areas of planning and teaching Assessing students learning","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g40d","Control over areas of planning and teaching Disciplining students","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g40e","Control over areas of planning and tch Determ. amount of homework to be assigned","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g41a","Sch.climate When lesson begins","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g41b","Sch.climate Students in class take care to create a pleasant learning atmosphere","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g41c","Sch.climate I lose quite a lot of time because of students interrupting lesson","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g41d","Sch.climate There is much disruptive noise in this classroom","STRONGLY DISAGREE; DISAGREE; AGREE; STRONGLY AGREE; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
